765;7;CB 600 HORNET;motos;
766;7;CBR 1000F;motos;
767;7;FIREBLADE CBR;motos;
768;7;CBR 450;motos;
769;7;CBR 600;motos;
771;7;TWISTER CBX 250;motos;
772;7;CBX 750F;motos;
773;7;CG FAN;motos;
774;7;CG TITAN;motos;
775;13;CORCEL;carro;
777;135;CRYPTON T115;motos;
778;133;CRZ;motos;
779;59;V-STROM DL;motos;
780;135;DT 200;motos;
781;27;ELEFANTRE;motos;
783;140;FUTURE;motos;
785;136;GR 500;motos;
786;136;GRI 50;motos;
787;59;GSX;motos;
788;59;GSX-R GIXXER/SRAD;motos;
791;135;FAZER YS250;motos;
792;135;FACTOR YBR125;motos;
796;135;YZF R1;motos;
800;135;VIRAGO 250;motos;
803;3;PALIO WEEKEND;carro;
806;13;FOCUS SEDAN;carro;
807;13;FIESTA SEDAN;carro;
808;13;FIESTA TRAIL;carro;
810;22;207 SW;carro;
811;13;ESCORT SW;carro;
812;22;307 SEDAN;carro;
813;22;307 SW;carro;
815;5;C4 PALLAS;carro;
816;5;C4 PICASSO;carro;
817;5;C4 VTR;carro;
818;24;CLIO SEDAN;carro;
819;23;COROLLA FIELDER;carro;
824;23;HILUX SW4;carro;
825;24;MEGANE GRAND TOUR;carro;
827;24;SANDERO STEPWAY;carro;
829;5;XSARA PICASSO;carro;
833;27;CITY;motos;
834;27;DAKAR;motos;
835;27;ELEFANT;motos;
836;27;FORCE;motos;
837;27;JUNIOR;motos;
838;27;SST;motos;
839;27;SUPER CITY;motos;
840;27;SXT;motos;
841;27;TCHAU;motos;
842;177;AME-110;motos;
843;177;AME-150;motos;
844;177;AME-250;motos;
845;177;AME-LX;motos;
846;178;AREA-51;motos;
847;178;CLASSIC;motos;
848;178;LEONARDO;motos;
849;178;MOTO;motos;
850;178;PEGASO;motos;
851;178;RALLY;motos;
852;178;RS;motos;
853;178;RSV MILLE;motos;
854;178;RX;motos;
855;178;SCARABEO;motos;
858;178;SONIC;motos;
859;178;SR RACING;motos;
860;178;SR WWW;motos;
861;179;CALIFFONE;motos;
862;179;MASTER;motos;
863;179;SKEGIA;motos;
864;180;CHAMPION;motos;
865;180;CLASSIC;motos;
866;181;TNT;motos;
869;181;TRE;motos;
870;182;MX-50;motos;
872;183;DB4;motos;
873;183;DB5R;motos;
874;183;DB6;motos;
875;183;DB6R;motos;
876;183;DB7;motos;
877;183;MANTRA;motos;
878;183;SBR8;motos;
879;183;TESI;motos;
882;36;G650GS;motos;
891;36;S1000RR;motos;
892;184;ELEGANT;motos;
893;184;FOSTI;motos;
894;184;PISTA;motos;
895;184;TURBO;motos;
896;184;ZANELLA;motos;
897;185;YB;motos;
898;186;CAN-AM;motos;
900;187;1125;motos;
902;187;FIREBOLT;motos;
904;187;LIGHTNING;motos;
905;187;ULYSSES;motos;
906;188;JBR;motos;
908;190;CANYON;motos;
909;190;ELEFANT;motos;
910;190;GRAN CANYON;motos;
911;190;MITO;motos;
912;190;NAVIGATOR;motos;
913;190;PLANET;motos;
914;190;ROADSTER;motos;
915;190;V-RAPTOR;motos;
916;190;W-16;motos;
917;191;MOBILETE;motos;
919;192;ALTINO;motos;
920;192;MESSAGE;motos;
921;192;VC;motos;
922;192;VF;motos;
923;192;VS;motos;
924;192;VT;motos;
925;192;VX;motos;
926;193;APACHE;motos;
927;193;CITYCOM;motos;
928;193;KANSAS;motos;
929;193;LASER;motos;
930;193;NEXT;motos;
